Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0422,"NextEra Energy Resources, LLC",Eight Point Wind Energy Center,11/7/13,101.2,101.2,W,Steuben-Allegany,NY,C,Bennett 115kV,NYSEG,10,7/31/19,"FES, SRIS, FS",7/9/19,07/2020,07/2020,12/2020
0429,Orange & Rockland,North Rockland Station,2/12/14,N/A,N/A,AC,Steuben,NY,G,Line Y88 345kV,ConEd,6,12/31/19,SIS,N/A,06/2021,N/A,N/A
0430,H.Q. Energy Services U.S. Inc.,Cedar Rapids Transmission,3/5/14,N/A,N/A,AC,St. Lawrence,NY,D,Dennison - Alcoa 115kV,NM-NG,12,12/31/19,"SIS, FS",10/2/18,12/2020,N/A,N/A
0444,"Cricket Valley Energy Center, LLC",Cricket Valley Energy Center II,6/18/14,1020,1132,CC,Dutchess,NY,G,Pleasant Valley - Long Mt. 345kV,ConEd,13,1/31/20,"SRIS, FS",7/9/19,12/2017,,03/2020
0445,"Lighthouse Wind, LLC",Lighthouse Wind,6/30/14,201.3,201.3,W,Niagara,NY,A,AES Somerset Substation 345kV,NYSEG,7,8/31/17,"FES, SRIS",,08/2020,,12/2020
0449,"Stockbridge Wind, LLC",Stockbridge Wind,8/13/14,72.6,72.6,W,Madison,NY,C,Whitman - Oneida 115kV,NM-NG,7,12/31/19,"FES, SRIS",,04/2023,05/2023,10/2023
0458,"TDI-USA Holdings, Inc.",CH Interconnection,10/24/14,1000,1000,DC,Quebec-New York,NY,J,Astoria Annex Substation 345kV,NYPA,9,12/31/19,"FES, SRIS",,12/2022,12/2022,12/2022
0461,Consolidated Edison Co. of NY,East River 1 Uprate,12/1/14,2,2,CT,New York,NY,J,East River Complex,ConEd,14,12/31/19,"SRIS, FS",7/9/19,,,I/S
0462,Consolidated Edison Co. of NY,East River 2 Uprate,12/1/14,2,2,CT,New York,NY,J,East River Complex,ConEd,14,12/31/19,"SRIS, FS",7/9/19,,,I/S
0465,Hudson Transmission Partners,Hudson Transmission NY to PJM,12/15/14,675,675,DC,New York,NY,J,W49th St 345kV - Bergen 230kV,ConEd,9,12/31/19,SIS,,03/2021,N/A,N/A
0466,"Atlantic Wind, LLC",Bone Run Wind,12/16/14,132,132,W,Cattaraugus,NY,A,Falconer - Homer Hill 115kV,NM-NG,7,1/31/18,"FES, SRIS",,11/2021,11/2021,12/2021
0467,Shoreham Solar Commons LLC,Shoreham Solar,12/22/14,25,25,S,Suffolk,NY,K,Ridge - Wildwood 69kV,LIPA,14,7/31/19,"SRIS, FS",7/9/19,,,I/S
0468,Apex Clean Energy LLC,Galloo Island Wind,12/30/14,110.4,110.4,W,Oswego,NY,C,Hammermill - Wine Creek 115kV,NM-NG,8,7/31/19,"FES, SRIS",,10/2019,,12/2019
